container_cpu_usage_seconds_total,Value
1663006487.849,6.090759658
1663006487.849,6.842280815
1663006487.849,74.674639533
1663006487.849,6.524113921
1663006487.849,12.64958103
1663006487.849,0.119514172
1663006487.849,27.976467097
1663006487.849,8.503355091
1663006487.849,18.163976221
1663006487.849,0.123232192
1663006487.849,31.276422929
1663006487.849,3019.6902911
1663006487.849,2938.816427388
1663006487.849,3257.866650274
1663006487.849,3688.217558842
1663006487.849,1003.666417899
1663006487.849,1143.815314705
1663006487.849,3699.81479708
1663006487.849,1292.048781381
1663006487.849,1302.570840913
1663006487.849,545.351859171
1663006487.849,2156.811789151
1663006487.849,5245.290550775
1663006487.849,817.080124622
1663006487.849,1834.306249763
1663006487.849,2148.898044456
1663006487.849,2150.638896808
1663006487.849,924.66033313
1663006487.849,811.826695855
1663006487.849,5279.046175302
1663006487.849,2219.772771446
1663006487.849,1848.205867943
1663006487.849,802.841971479
1663006487.849,721.833240634
1663006487.849,70.733229664
1663006487.849,15.511003286
1663006487.849,56.063487302
1663006487.849,87.034890943
1663006487.849,69.151885328
1663006487.849,49.614536204
1663006487.849,475.820846248
1663006487.849,394.667514202
1663006487.849,202.86775331
1663006487.849,435.520399166
1663006487.849,123.189106279
1663006487.849,1484.031866425
1663006487.849,1481.865261078
1663006487.849,10.331484458
1663006487.849,1481.319772104
1663006487.849,388.264648678
1663006487.849,1481.797270587
1663006487.849,523.064627834
1663006487.849,968.015349816
1663006487.849,0.06739504
1663006487.849,0.074790012
1663006487.849,0.067979427
1663006487.849,0.061645695
1663006487.849,0.067966253
1663006487.849,0.060956553
1663006487.849,0.041020976
1663006487.849,0.040219427
1663006487.849,0.04338469
1663006487.849,0.051500679
1663006487.849,0.04959985
1663006487.849,0.037133352
1663006487.849,188.814276352
1663006487.849,1570.807795345
1663006487.849,6586.597450661
1663006487.849,18868.118355612
1663006487.849,8768.367663165
1663006487.849,260.652313994
1663006487.849,21093.39600272
1663006487.849,351.982795212
1663006487.849,9.272153852
1663006487.849,78.346711089
1663006487.849,8.690601958
1663006487.849,0.298998537
1663006487.849,31.71388986
1663006487.849,1.114591749
1663006487.849,55.397269477
1663006487.849,452.224183279
1663006487.849,180.417782001
1663006487.849,48.045113868
1663006487.849,1.624089195
1663006487.849,1095.838131267
1663006487.849,180.591966017
1663006487.849,13.830828301
1663006487.849,99.451195087
1663006487.849,313.339587376
1663006487.849,2.40632058
1663006487.849,34.340790894
1663006487.849,0.041689339
1663006487.849,0.038372637
1663006487.849,0.039485471
1663006487.849,0.049384324
1663006487.849,0.041201927
1663006487.849,0.04253025
1663006487.849,0.03884859
1663006487.849,0.041321107
1663006487.849,0.035232983
1663006487.849,0.046088974
1663006487.849,0.038353169
1663006487.849,0.038847469
1663006487.849,0.041434726
1663006487.849,0.035881602
1663006487.849,0.032783643
1663006487.849,0.044692136
1663006487.849,0.03186499
1663006487.849,0.045884972
1663006487.849,0.033078226
1663006487.849,0.03867
1663006487.849,0.035706676
1663006487.849,0.058894056
1663006487.849,0.045048136
1663006487.849,0.029602827
1663006487.849,0.04582555
1663006487.849,0.041118583
1663006487.849,0.049990497
1663006487.849,0.034728851
1663006487.849,0.03758967
1663006487.849,0.030526408
1663006487.849,0.040427788
1663006487.849,0.043087614
1663006487.849,0.035848835
1663006487.849,0.047436609
1663006487.849,0.034864983
1663006487.849,0.046955964
1663006487.849,0.039587326
1663006487.849,0.045121283
1663006487.849,0.047918394
1663006487.849,0.034060996
1663006487.849,0.030071288
1663006487.849,0.054817609
